  Si, diamond structure                                            Feff  8.00
  Abs   Z=14 Rmt= 1.590 Rnm= 1.714 K  shell
  Pot 1 Z=14 Rmt= 1.620 Rnm= 1.766
  Gam_ch=4.153E-01 H-L exch
  Mu=-6.650E+00 kf=1.525E+00 Vint=-9.886E+00 Rs_int= 2.378
  S02  1.000                                        Global sig2  0.00000
  Curved wave amplitude ratio filter   4.000%
     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
     0/   0 paths used
  xsedge+ 50, used to normalize mu           1.3634E-03
  -----------------------------------------------------------------------
   e, e(wrt edge), k, mu=(1+chi)*mu0, mu0, chi @#
     1836.418    -10.460  -1.000  3.08864E-02  2.59381E-02  4.94830E-03
     1837.142     -9.736  -0.900  3.92939E-02  3.33215E-02  5.97248E-03
     1837.789     -9.088  -0.800  5.10552E-02  4.40506E-02  7.00460E-03
     1838.361     -8.517  -0.700  6.79941E-02  6.03287E-02  7.66548E-03
     1838.856     -8.022  -0.600  9.32486E-02  8.63769E-02  6.87167E-03
     1839.275     -7.602  -0.500  1.32483E-01  1.30916E-01  1.56650E-03
     1839.618     -7.260  -0.400  1.96385E-01  2.13384E-01 -1.69993E-02
     1839.885     -6.993  -0.300  3.04824E-01  3.77580E-01 -7.27569E-02
     1840.075     -6.802  -0.200  4.80114E-01  6.86672E-01 -2.06559E-01
     1840.190     -6.688  -0.100  6.81445E-01  1.05149E+00 -3.70044E-01
     1840.228     -6.650   0.000  7.60617E-01  1.16439E+00 -4.03770E-01
     1840.332     -6.546   0.165  9.93149E-01  1.51922E+00 -5.26068E-01
     1840.435     -6.442   0.233  1.25333E+00  1.73964E+00 -4.86311E-01
     1840.466     -6.412   0.250  1.33447E+00  1.78104E+00 -4.46566E-01
     1840.571     -6.307   0.300  1.63198E+00  1.86971E+00 -2.37723E-01
     1840.695     -6.183   0.350  1.98130E+00  1.90833E+00  7.29652E-02
     1840.837     -6.040   0.400  2.27878E+00  1.90920E+00  3.69575E-01
     1840.999     -5.878   0.450  2.42339E+00  1.88443E+00  5.38965E-01
     1841.180     -5.697   0.500  2.39509E+00  1.84334E+00  5.51754E-01
     1841.380     -5.497   0.550  2.24624E+00  1.79240E+00  4.53836E-01
     1841.599     -5.278   0.600  2.03034E+00  1.73625E+00  2.94087E-01
     1841.838     -5.040   0.650  1.96311E+00  1.67802E+00  2.85088E-01
     1842.095     -4.783   0.700  2.28158E+00  1.61987E+00  6.61703E-01
     1842.371     -4.507   0.750  2.88226E+00  1.56330E+00  1.31896E+00
     1842.666     -4.212   0.800  3.05682E+00  1.50910E+00  1.54772E+00
     1842.981     -3.897   0.850  2.52936E+00  1.45791E+00  1.07146E+00
     1843.314     -3.564   0.900  2.41392E+00  1.41001E+00  1.00392E+00
     1843.666     -3.211   0.950  2.46700E+00  1.36555E+00  1.10145E+00
     1844.038     -2.840   1.000  2.08824E+00  1.32439E+00  7.63845E-01
     1844.428     -2.449   1.050  1.83384E+00  1.28661E+00  5.47233E-01
     1844.838     -2.040   1.100  1.72337E+00  1.25201E+00  4.71361E-01
     1845.267     -1.611   1.150  1.55016E+00  1.22037E+00  3.29790E-01
     1845.714     -1.164   1.200  1.55933E+00  1.19166E+00  3.67672E-01
     1846.181     -0.697   1.250  1.58855E+00  1.16552E+00  4.23029E-01
     1846.667     -0.211   1.300  1.56055E+00  1.14196E+00  4.18585E-01
     1847.171      0.294   1.350  1.48909E+00  1.12067E+00  3.68418E-01
     1847.695      0.818   1.400  1.33941E+00  1.10155E+00  2.37857E-01
     1848.238      1.361   1.450  1.19848E+00  1.08442E+00  1.14062E-01
     1848.800      1.923   1.500  1.00553E+00  1.06917E+00 -6.36409E-02
     1849.381      2.504   1.550  8.06735E-01  1.05567E+00 -2.48936E-01
     1849.981      3.104   1.600  7.72743E-01  1.04366E+00 -2.70918E-01
     1850.600      3.723   1.650  8.12533E-01  1.03323E+00 -2.20694E-01
     1851.239      4.361   1.700  9.23357E-01  1.02409E+00 -1.00736E-01
     1851.896      5.018   1.750  1.05214E+00  1.01627E+00  3.58709E-02
     1852.572      5.694   1.800  1.11914E+00  1.00963E+00  1.09517E-01
     1853.267      6.390   1.850  1.06558E+00  1.00402E+00  6.15574E-02
     1853.982      7.104   1.900  1.01782E+00  9.99395E-01  1.84198E-02
     1854.715      7.837   1.950  9.62117E-01  9.95748E-01 -3.36308E-02
     1855.468      8.590   2.000  9.38667E-01  9.92867E-01 -5.42008E-02
