#GaAs-6K
#363
#--------------------------
#   E             mu
1.162679e+01   1.092291e+00
1.162091e+01   1.094805e+00
1.161504e+01   1.097666e+00
1.160917e+01   1.099533e+00
1.160331e+01   1.103689e+00
1.159746e+01   1.104972e+00
1.159161e+01   1.106981e+00
1.158577e+01   1.107767e+00
1.157994e+01   1.109478e+00
1.157411e+01   1.112638e+00
1.156828e+01   1.115207e+00
1.156247e+01   1.117180e+00
1.155666e+01   1.119313e+00
1.155085e+01   1.120659e+00
1.154505e+01   1.122348e+00
1.153926e+01   1.125193e+00
1.153347e+01   1.126062e+00
1.152769e+01   1.127657e+00
1.152191e+01   1.129907e+00
1.151614e+01   1.132216e+00
1.151038e+01   1.134776e+00
1.150462e+01   1.137562e+00
1.149887e+01   1.140624e+00
1.149312e+01   1.142619e+00
1.148738e+01   1.143558e+00
1.148164e+01   1.144009e+00
1.147592e+01   1.145493e+00
1.147019e+01   1.147167e+00
1.146447e+01   1.149166e+00
1.145876e+01   1.150733e+00
1.145306e+01   1.154369e+00
1.144736e+01   1.157975e+00
1.144166e+01   1.160482e+00
1.143597e+01   1.163244e+00
1.143029e+01   1.165921e+00
1.142461e+01   1.167708e+00
1.141894e+01   1.170229e+00
1.141327e+01   1.175910e+00
1.140761e+01   1.177159e+00
1.140196e+01   1.178191e+00
1.139631e+01   1.180093e+00
1.139067e+01   1.183309e+00
1.138503e+01   1.186058e+00
1.137940e+01   1.188415e+00
1.137377e+01   1.190718e+00
1.136815e+01   1.192130e+00
1.136254e+01   1.193542e+00
1.135693e+01   1.193602e+00
1.135132e+01   1.197578e+00
1.134573e+01   1.196639e+00
1.134013e+01   1.197863e+00
1.133455e+01   1.200520e+00
1.132897e+01   1.203280e+00
1.132339e+01   1.204678e+00
1.131782e+01   1.205343e+00
1.131226e+01   1.208166e+00
1.130670e+01   1.210218e+00
1.130114e+01   1.211841e+00
1.129560e+01   1.211315e+00
1.129005e+01   1.216038e+00
1.128452e+01   1.220762e+00
1.127899e+01   1.222227e+00
1.127346e+01   1.226133e+00
1.126794e+01   1.229049e+00
1.126243e+01   1.231633e+00
1.125692e+01   1.234576e+00
1.125141e+01   1.236867e+00
1.124591e+01   1.238785e+00
1.124042e+01   1.241276e+00
1.123493e+01   1.242918e+00
1.122945e+01   1.245784e+00
1.122398e+01   1.249550e+00
1.121850e+01   1.251619e+00
1.121304e+01   1.254869e+00
1.120758e+01   1.258777e+00
1.120212e+01   1.260850e+00
1.119667e+01   1.262702e+00
1.119123e+01   1.263849e+00
1.118579e+01   1.265496e+00
1.118036e+01   1.267050e+00
