# Cu foil at 10K
# # cu10k.dat    : this file is part of the uwxafs 3.0 distribution
# data taken at NSLS beamline X-11A Sept 1992
# by M Newville, B Ravel, and Y Zhang
# foil of 99.999% Cu rolled and annealled to ~12 microns
# sample prepared by M Newville
# From X-11A :
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40.
# FOCUS=F TRANSLT=F  E0= 8980.0 NREG= 3 NPTS= 611 NSCLRS= 3 EF= .0
# SRB=     -193.7    -43.5     30.0   2381.3
# DEL=         10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
#------------------------
#   energy        xmu
  8786.204         1.013661
  8796.258        0.9949864
  8806.253        0.9900679
  8816.270        0.9850345
  8826.270        0.9801005
  8836.292        0.9751812
  8846.337        0.9703809
  8856.322        0.9656931
  8866.372        0.9609839
  8876.361        0.9562312
  8886.416        0.9515597
  8896.409        0.9472797
  8906.425        0.9427789
  8916.464        0.9387816
  8926.483        0.9347627
  8936.483        0.9319326
  8936.998        0.9318979
  8937.471        0.9319605
  8937.944        0.9317057
  8938.417        0.9314675
  8938.976        0.9315093
  8939.406        0.9315045
  8939.878        0.9313901
  8940.352        0.9313291
  8940.824        0.9312409
  8941.384        0.9311222
  8941.814        0.9310213
  8942.287        0.9309021
  8942.761        0.9307298
  8943.319        0.9306122
  8943.793        0.9304990
  8944.224        0.9306326
  8944.697        0.9305469
  8945.257        0.9303982
  8945.730        0.9303880
  8946.204        0.9303346
  8946.635        0.9303558
  8947.108        0.9302956
  8947.668        0.9302498
  8948.143        0.9302464
  8948.616        0.9301887
  8949.048        0.9302589
  8949.564        0.9302350
  8950.038        0.9301157
  8950.513        0.9302852
  8950.987        0.9301982
  8951.461        0.9303481
  8951.979        0.9303330
  8952.453        0.9302519
  8952.927        0.9303452
  8953.401        0.9304274
  8953.876        0.9305623
  8954.394        0.9306202
  8954.868        0.9307082
  8955.343        0.9309137
  8955.817        0.9310440
  8956.336        0.9311512
  8956.811        0.9312306
  8957.285        0.9314795
  8957.761        0.9315805
  8958.235        0.9318467
  8958.710        0.9322639
  8959.229        0.9325585
  8959.703        0.9327140
  8960.179        0.9331298
  8960.654        0.9333592
  8961.130        0.9338366
  8961.647        0.9340628
  8962.123        0.9345798
  8962.599        0.9350846
  8963.074        0.9357670
  8963.550        0.9363439
  8964.068        0.9371685
  8964.544        0.9378253
  8965.020        0.9386100
  8965.496        0.9393651
  8965.972        0.9404053
  8966.447        0.9413668
  8966.967        0.9426652
  8967.442        0.9440842
  8967.919        0.9458520
  8968.395        0.9469061
  8968.871        0.9484839
  8969.347        0.9510049
  8969.909        0.9537250
  8970.386        0.9559226
  8970.862        0.9591411
  8971.339        0.9638383
  8971.772        0.9658701
  8972.248        0.9704646
  8972.812        0.9777987
  8973.288        0.9857215
  8973.765        0.9959283
  8974.198         1.004012
  8974.675         1.025727
  8975.151         1.041380
  8975.628         1.065133
  8976.192         1.129467
  8976.626         1.208882
  8977.103         1.347811
  8977.580         1.576825
  8978.057         1.781245
  8978.534         1.922731
  8979.055         1.990812
  8979.531         2.014387
  8980.009         2.006267
  8980.486         1.985342
  8980.964         1.960698
  8981.441         1.948155
  8981.919         1.962577
  8982.396         1.988741
  8982.918         2.034157
  8983.396         2.087115
  8983.873         2.129985
  8984.352         2.166079
  8984.829         2.204677
  8985.307         2.266785
  8985.785         2.305345
  8986.307         2.377522
  8986.784         2.447587
  8987.263         2.550736
  8987.741         2.628802
  8988.219         2.739306
  8988.697         2.846921
  8989.176         2.926129
  8989.653         3.004384
  8990.132         3.103122
  8990.698         3.211040
  8991.133         3.253994
  8991.611         3.299688
  8992.090         3.307443
  8992.568         3.292812
  8993.048         3.270622
  8993.526         3.232157
  8994.006         3.193880
  8994.484         3.153873
  8995.007         3.110148
  8995.485         3.076609
  8995.965         3.057663
  8996.444         3.044436
  8996.924         3.038896
  8997.402         3.047299
  8997.882         3.067514
  8998.361         3.100560
  8998.840         3.164385
  8999.319         3.198286
  8999.799         3.253436
  9000.366         3.303922
  9000.803         3.341708
  9001.281         3.359158
  9001.762         3.356086
  9002.241         3.337021
  9002.721         3.294590
  9003.201         3.271427
  9003.681         3.230007
  9004.161         3.208134
  9004.642         3.151590
  9005.121         3.126171
  9005.602         3.094709
  9006.125         3.063252
  9006.605         3.043238
  9007.086         3.022431
  9007.566         2.994922
  9008.047         2.975828
  9008.526         2.955377
  9009.007         2.941575
  9009.487         2.933227
  9009.969         2.931259
  9011.062         2.941681
  9012.153         2.955967
  9013.246         2.980734
  9014.384         3.008692
  9015.565         3.061603
  9016.746         3.111765
  9017.928         3.151268
  9019.154         3.209008
  9020.380         3.265456
  9021.606         3.309451
  9022.877         3.344066
  9024.191         3.347933
  9025.464         3.317408
  9026.822         3.256685
  9028.140         3.197553
  9029.499         3.127461
  9030.903         3.074151
  9032.309         3.038878
  9033.759         3.014589
  9035.164         3.009469
  9036.615         3.019048
  9038.109         3.042527
  9039.604         3.064316
  9041.145         3.070378
  9042.642         3.060592
  9044.271         3.049929
  9045.768         3.056479
  9047.397         3.083377
  9049.029         3.111159
  9050.616         3.117680
  9052.336         3.112090
  9053.969         3.114585
  9055.646         3.135969
  9057.324         3.166758
  9059.047         3.194733
  9060.814         3.212787
  9062.627         3.230845
  9064.353         3.252570
  9066.166         3.285908
  9067.981         3.320478
  9069.842         3.347080
  9071.702         3.347973
  9073.563         3.322422
  9075.470         3.270037
  9077.377         3.199704
  9079.329         3.141443
  9081.283         3.096301
  9083.237         3.056642
  9085.281         3.035020
  9087.237         3.030587
  9089.283         3.008554
  9091.330         2.954597
  9093.378         2.905036
  9095.472         2.869176
  9097.610         2.861018
  9099.705         2.881511
  9101.847         2.917772
  9104.033         2.965204
  9106.221         3.017964
  9108.409         3.067991
  9110.644         3.100566
  9112.879         3.107379
  9115.160         3.090957
  9117.398         3.071216
  9119.728         3.065036
  9122.057         3.105295
  9124.389         3.203622
  9126.721         3.327629
  9129.099         3.390544
  9131.478         3.393080
  9133.904         3.363564
  9136.331         3.334324
  9138.805         3.300580
  9141.279         3.238897
  9143.756         3.156461
  9146.233         3.055825
  9148.803         2.946566
  9151.328         2.839257
  9153.899         2.747080
