# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag         chir_re         chir_re
  0.0000000       0.41660157E-01   0.87211347E-01   0.41660157E-01   0.87211347E-01
  0.30679616E-01   0.44439930E-01   0.89842949E-01   0.44424090E-01   0.89815349E-01
  0.61359232E-01   0.48736117E-01   0.95418704E-01   0.47949417E-01   0.94966228E-01
  0.92038847E-01   0.48151784E-01   0.99379108E-01   0.43903111E-01   0.97027337E-01
  0.12271846       0.39785159E-01   0.98650495E-01   0.31675482E-01   0.92591127E-01
  0.15339808       0.26949022E-01   0.93661256E-01   0.21907544E-01   0.84123728E-01
  0.18407769       0.26678248E-01   0.88820871E-01   0.26572022E-01   0.78264668E-01
  0.21475731       0.44676153E-01   0.89967315E-01   0.44673165E-01   0.79472340E-01
  0.24543693       0.62360903E-01   0.97930368E-01   0.59576456E-01   0.84847971E-01
  0.27611654       0.70062493E-01   0.10687314       0.53929563E-01   0.86134716E-01
  0.30679616       0.63574652E-01   0.11046212       0.29045653E-01   0.78113176E-01
  0.33747577       0.43410411E-01   0.10695966       0.74304538E-02   0.64943369E-01
  0.36815539       0.22264585E-01   0.10116857       0.11758545E-01   0.56605050E-01
  0.39883500       0.41989218E-01   0.10222782       0.39245769E-01   0.57850546E-01
  0.42951462       0.74262765E-01   0.11360492       0.59720587E-01   0.61591774E-01
  0.46019424       0.95749172E-01   0.12757811       0.44381649E-01   0.55478368E-01
  0.49087385       0.98122734E-01   0.13429978      -0.14927024E-02   0.35944500E-01
  0.52155347       0.78331357E-01   0.13001583      -0.38273954E-01   0.13929631E-01
  0.55223308       0.39220116E-01   0.12045365      -0.30378605E-01   0.39867870E-02
  0.58291270       0.21135535E-01   0.11984400       0.13134745E-01   0.73195712E-02
  0.61359232       0.73381786E-01   0.13652106       0.40904098E-01   0.82188451E-02
  0.64427193       0.11885466       0.16023067       0.89244638E-02  -0.99518138E-02
  0.67495155       0.14443147       0.17585508      -0.69885456E-01  -0.45633318E-01
  0.70563116       0.14386311       0.17616491      -0.13007402      -0.79001430E-01
  0.73631078       0.11785780       0.16562629      -0.11397793      -0.93097986E-01
  0.76699039       0.77295184E-01   0.16042967      -0.30199952E-01  -0.93476910E-01
  0.79767001       0.57366662E-01   0.17571397       0.50562002E-01  -0.10323338
  0.82834963       0.87015804E-01   0.20529837       0.61313071E-01  -0.13723337
  0.85902924       0.12008740       0.23061659       0.80060517E-03  -0.18417221
  0.88970886       0.13179339       0.23982408      -0.71210342E-01  -0.21798886
  0.92038847       0.11885263       0.23445765      -0.99025797E-01  -0.22690971
  0.95106809       0.96298898E-01   0.22933287      -0.86529914E-01  -0.22661319
  0.98174770       0.10228314       0.24164040      -0.84532303E-01  -0.24074410
  1.0124273       0.14495668       0.27045867      -0.12642323      -0.27024532
  1.0431069       0.18868325       0.29711331      -0.18556085      -0.28833548
  1.0737866       0.20879272       0.30455370      -0.20329285      -0.26990688
  1.1044662       0.19499608       0.28930631      -0.15679829      -0.22282981
  1.1351458       0.15079235       0.26597409      -0.89728624E-01  -0.18299635
  1.1658254       0.10505101       0.26272222      -0.68714447E-01  -0.17505672
  1.1965050       0.12625857       0.29314800      -0.11165115      -0.18242567
