# data from ifeffit
#------------------------
#   r          chir_mag          chir_mag          chir_re          chir_re
  0.0000000       0.43919786E-01   0.89410583E-01   0.43919786E-01   0.89410583E-01
  0.30679616E-01   0.44178462E-01   0.90381101E-01   0.43933858E-01   0.90223645E-01
  0.61359232E-01   0.43917675E-01   0.92481909E-01   0.42701433E-01   0.91642520E-01
  0.92038847E-01   0.41390063E-01   0.94026256E-01   0.38558604E-01   0.91581792E-01
  0.12271846       0.36631432E-01   0.93890537E-01   0.33061125E-01   0.88945847E-01
  0.15339808       0.33252035E-01   0.92465411E-01   0.30895683E-01   0.84850302E-01
  0.18407769       0.36358988E-01   0.91551879E-01   0.35101627E-01   0.81709506E-01
  0.21475731       0.44657084E-01   0.92981047E-01   0.42636137E-01   0.80854038E-01
  0.24543693       0.52013708E-01   0.96780467E-01   0.46021313E-01   0.80978436E-01
  0.27611654       0.54011106E-01   0.10098270       0.40580332E-01   0.79217313E-01
  0.30679616       0.49652825E-01   0.10346492       0.30002728E-01   0.74057351E-01
  0.33747577       0.42419656E-01   0.10387392       0.23565337E-01   0.67084156E-01
  0.36815539       0.40966629E-01   0.10413948       0.26724100E-01   0.61392872E-01
  0.39883500       0.50106642E-01   0.10694098       0.34534554E-01   0.58021924E-01
  0.42951462       0.62475482E-01   0.11287106       0.35587443E-01   0.54329528E-01
  0.46019424       0.69855604E-01   0.11948604       0.23547057E-01   0.46558955E-01
  0.49087385       0.68425898E-01   0.12365350       0.46187830E-02   0.34175047E-01
  0.52155347       0.59181302E-01   0.12451611      -0.77129563E-02   0.21020830E-01
  0.55223308       0.49662839E-01   0.12471763      -0.64677757E-02   0.11371851E-01
  0.58291270       0.52619781E-01   0.12869886       0.47218533E-03   0.47983494E-02
  0.61359232       0.67966730E-01   0.13828440      -0.29413185E-02  -0.42246914E-02
  0.64427193       0.83090085E-01   0.15034643      -0.24608131E-01  -0.20801456E-01
  0.67495155       0.89063049E-01   0.15989334      -0.54399303E-01  -0.43854360E-01
  0.70563116       0.82069602E-01   0.16445345      -0.71341326E-01  -0.66766447E-01
  0.73631078       0.62206986E-01   0.16612754      -0.61805769E-01  -0.84342023E-01
  0.76699039       0.32625594E-01   0.17035090      -0.31608378E-01  -0.98644116E-01
  0.79767001       0.43091587E-02   0.18113085      -0.10214843E-02  -0.11690615
  0.82834963       0.36836385E-01   0.19678826       0.11438105E-01  -0.14335698
  0.85902924       0.67521004E-01   0.21178742       0.62102530E-03  -0.17396607
  0.88970886       0.93501475E-01   0.22200383      -0.27212319E-01  -0.20024851
  0.92038847       0.11571563       0.22792909      -0.63750003E-01  -0.21801054
  0.95106809       0.13507181       0.23405358      -0.10304625      -0.23091286
  0.98174770       0.15019822       0.24459555      -0.13775820      -0.24443794
  1.0124273       0.15735694       0.25882813      -0.15641132      -0.25725408
  1.0431069       0.15286185       0.27133944      -0.15053334      -0.26071449
  1.0737866       0.13698845       0.27697057      -0.12659588      -0.24812483
  1.1044662       0.11943482       0.27550474      -0.10719265      -0.22340975
  1.1351458       0.12213530       0.27296213      -0.11394122      -0.19828356
  1.1658254       0.15595843       0.27782705      -0.14523045      -0.17976280
  1.1965050       0.20379295       0.29330609      -0.17210478      -0.16172668
  1.2271846       0.24632810       0.31385312      -0.16065724      -0.13081849
  1.2578642       0.27254778       0.33081736      -0.10199047      -0.80943993E-01
