# ENERGY     XMU  I0   THETA
#-------------------
#  my.1      tmp.xafs  my.8      my.2
        0.1796957E+05     0.1542882E+00     0.5362100E+05     0.1035000E+02
        0.1797215E+05     0.1519408E+00     0.5241200E+05     0.1034850E+02
        0.1797473E+05     0.1562487E+00     0.5605000E+05     0.1034700E+02
        0.1797731E+05     0.1551552E+00     0.5944700E+05     0.1034549E+02
        0.1797990E+05     0.1592289E+00     0.6101300E+05     0.1034399E+02
        0.1798248E+05     0.1598082E+00     0.6149200E+05     0.1034249E+02
        0.1798506E+05     0.1590316E+00     0.6133700E+05     0.1034099E+02
        0.1798765E+05     0.1606590E+00     0.6098100E+05     0.1033949E+02
        0.1799023E+05     0.1582807E+00     0.6047100E+05     0.1033798E+02
        0.1799282E+05     0.1600127E+00     0.5975500E+05     0.1033648E+02
        0.1799541E+05     0.1586123E+00     0.5984000E+05     0.1033498E+02
        0.1799799E+05     0.1613446E+00     0.5915300E+05     0.1033348E+02
        0.1800058E+05     0.1555114E+00     0.5874600E+05     0.1033197E+02
        0.1800317E+05     0.1580024E+00     0.5890200E+05     0.1033047E+02
        0.1800576E+05     0.1579105E+00     0.5877000E+05     0.1032897E+02
        0.1800835E+05     0.1550940E+00     0.5901200E+05     0.1032747E+02
        0.1801094E+05     0.1578486E+00     0.5900100E+05     0.1032597E+02
        0.1801354E+05     0.1550117E+00     0.5928800E+05     0.1032446E+02
        0.1801613E+05     0.1606891E+00     0.5893700E+05     0.1032296E+02
        0.1801872E+05     0.1630235E+00     0.5921600E+05     0.1032146E+02
        0.1802131E+05     0.1646462E+00     0.5816600E+05     0.1031996E+02
        0.1802391E+05     0.1643405E+00     0.5791900E+05     0.1031846E+02
        0.1802651E+05     0.1596911E+00     0.5647400E+05     0.1031695E+02
        0.1802910E+05     0.1627201E+00     0.5613600E+05     0.1031545E+02
        0.1803170E+05     0.1691421E+00     0.5583500E+05     0.1031395E+02
        0.1803430E+05     0.1722071E+00     0.5532600E+05     0.1031245E+02
        0.1803690E+05     0.1712881E+00     0.5564000E+05     0.1031094E+02
        0.1803950E+05     0.1727068E+00     0.5534300E+05     0.1030944E+02
        0.1804210E+05     0.1741431E+00     0.5548300E+05     0.1030794E+02
        0.1804470E+05     0.1717116E+00     0.5487600E+05     0.1030644E+02
        0.1804730E+05     0.1790487E+00     0.5502300E+05     0.1030494E+02
        0.1804990E+05     0.1802713E+00     0.5449700E+05     0.1030343E+02
        0.1805251E+05     0.1788924E+00     0.5388100E+05     0.1030193E+02
        0.1805511E+05     0.1861875E+00     0.5371600E+05     0.1030043E+02
        0.1805772E+05     0.1853708E+00     0.5360300E+05     0.1029893E+02
        0.1806032E+05     0.1803671E+00     0.5266700E+05     0.1029743E+02
        0.1806293E+05     0.1887798E+00     0.5197000E+05     0.1029592E+02
        0.1806554E+05     0.1926046E+00     0.5198500E+05     0.1029442E+02
        0.1806814E+05     0.2021640E+00     0.5170700E+05     0.1029292E+02
        0.1807075E+05     0.2162728E+00     0.5132400E+05     0.1029142E+02
        0.1807336E+05     0.2427851E+00     0.5119700E+05     0.1028992E+02
        0.1807597E+05     0.2782636E+00     0.5062000E+05     0.1028841E+02
        0.1807858E+05     0.3331657E+00     0.5040600E+05     0.1028691E+02
        0.1808120E+05     0.4220251E+00     0.5030700E+05     0.1028541E+02
        0.1808381E+05     0.5414779E+00     0.4974300E+05     0.1028391E+02
        0.1808642E+05     0.6072039E+00     0.5000400E+05     0.1028240E+02
        0.1808904E+05     0.5859713E+00     0.4994400E+05     0.1028090E+02
        0.1809165E+05     0.5301469E+00     0.4993000E+05     0.1027940E+02
        0.1809427E+05     0.4727715E+00     0.4971700E+05     0.1027790E+02
        0.1809688E+05     0.4292545E+00     0.4944100E+05     0.1027640E+02
        0.1809950E+05     0.4025514E+00     0.4920000E+05     0.1027489E+02
        0.1810212E+05     0.3917125E+00     0.4834000E+05     0.1027339E+02
        0.1810474E+05     0.3975497E+00     0.4898900E+05     0.1027189E+02
        0.1810736E+05     0.3949146E+00     0.4836100E+05     0.1027039E+02
        0.1810998E+05     0.3964491E+00     0.4852600E+05     0.1026888E+02
        0.1811260E+05     0.4006595E+00     0.4867400E+05     0.1026738E+02
        0.1811522E+05     0.4090591E+00     0.4876400E+05     0.1026588E+02
        0.1811784E+05     0.4169398E+00     0.4891300E+05     0.1026438E+02
        0.1812046E+05     0.4296557E+00     0.4912700E+05     0.1026288E+02
        0.1812309E+05     0.4371718E+00     0.4908100E+05     0.1026137E+02
        0.1812572E+05     0.4295723E+00     0.4948300E+05     0.1025987E+02
        0.1812834E+05     0.4352913E+00     0.4938300E+05     0.1025837E+02
        0.1813097E+05     0.4260134E+00     0.4950500E+05     0.1025687E+02
        0.1813359E+05     0.4292673E+00     0.4917700E+05     0.1025537E+02
        0.1813622E+05     0.4236300E+00     0.4903800E+05     0.1025386E+02
        0.1813885E+05     0.4151444E+00     0.4901600E+05     0.1025236E+02
        0.1814148E+05     0.4040912E+00     0.4804100E+05     0.1025086E+02
        0.1814411E+05     0.4104382E+00     0.4803000E+05     0.1024936E+02
        0.1814674E+05     0.4018198E+00     0.4785000E+05     0.1024785E+02
        0.1814938E+05     0.4069043E+00     0.4778000E+05     0.1024635E+02
        0.1815201E+05     0.4073845E+00     0.4804000E+05     0.1024485E+02
        0.1815464E+05     0.4060361E+00     0.4800200E+05     0.1024335E+02
        0.1815728E+05     0.4082456E+00     0.4786500E+05     0.1024185E+02
        0.1815991E+05     0.4053397E+00     0.4823900E+05     0.1024034E+02
        0.1816254E+05     0.4061451E+00     0.4793700E+05     0.1023884E+02
        0.1816518E+05     0.4058494E+00     0.4779900E+05     0.1023734E+02
        0.1816782E+05     0.4075946E+00     0.4812400E+05     0.1023584E+02
        0.1817046E+05     0.4065022E+00     0.4786200E+05     0.1023433E+02
        0.1817310E+05     0.4101139E+00     0.4810600E+05     0.1023283E+02
        0.1817574E+05     0.4137819E+00     0.4810500E+05     0.1023133E+02
        0.1817838E+05     0.4152339E+00     0.4820800E+05     0.1022983E+02
        0.1818102E+05     0.4175472E+00     0.4824000E+05     0.1022833E+02
        0.1818366E+05     0.4244472E+00     0.4808100E+05     0.1022682E+02
        0.1818630E+05     0.4216022E+00     0.4785800E+05     0.1022532E+02
        0.1818895E+05     0.4191086E+00     0.4735000E+05     0.1022382E+02
        0.1819159E+05     0.4202591E+00     0.4741400E+05     0.1022232E+02
        0.1819424E+05     0.4292398E+00     0.4742300E+05     0.1022082E+02
        0.1819688E+05     0.4185568E+00     0.4744700E+05     0.1021931E+02
        0.1819953E+05     0.4202316E+00     0.4806300E+05     0.1021781E+02
        0.1820218E+05     0.4209748E+00     0.4820900E+05     0.1021631E+02
        0.1820482E+05     0.4208037E+00     0.4864800E+05     0.1021481E+02
        0.1820747E+05     0.4236430E+00     0.4851300E+05     0.1021331E+02
        0.1821012E+05     0.4257940E+00     0.4881500E+05     0.1021180E+02
        0.1821278E+05     0.4174721E+00     0.4866700E+05     0.1021030E+02
        0.1821543E+05     0.4114185E+00     0.4853600E+05     0.1020880E+02
        0.1821808E+05     0.4090106E+00     0.4811500E+05     0.1020730E+02
