#:RESULT:FerriteDAFS01.0003.q
#--------------------------
#Q     Intensity
  0.799378       274.232697
  0.803122       274.416138
  0.806865       274.066010
  0.810609       274.274261
  0.814353       274.774719
  0.818096       274.588867
  0.821840       273.943176
  0.825583       273.491119
  0.829326       273.249481
  0.833069       272.992615
  0.836812       272.964111
  0.840555       272.958771
  0.844297       272.514679
  0.848040       271.930573
  0.851782       271.742645
  0.855524       271.592865
  0.859266       271.452423
  0.863008       271.052002
  0.866750       270.133301
  0.870492       268.971283
  0.874233       268.460846
  0.877975       268.233917
  0.881716       268.391235
  0.885457       268.183319
  0.889198       268.391144
  0.892939       268.629486
  0.896680       268.114807
  0.900420       267.787628
  0.904161       266.801178
  0.907901       266.034607
  0.911641       265.309174
  0.915381       264.558990
  0.919121       263.929749
  0.922861       264.412903
  0.926601       264.824829
  0.930340       264.507782
  0.934079       263.963501
  0.937819       263.219604
  0.941558       262.817719
  0.945297       262.624695
  0.949035       262.368469
  0.952774       262.153320
  0.956512       261.615692
  0.960251       261.224091
  0.963989       260.460022
  0.967727       260.905090
  0.971465       261.604248
  0.975203       261.385101
  0.978940       260.428040
  0.982678       259.755768
  0.986415       259.071289
  0.990152       258.733398
  0.993889       258.201050
  0.997626       257.594299
  1.001363       257.007263
  1.005099       256.600586
  1.008835       256.721619
  1.012572       256.650055
  1.016308       256.113098
  1.020044       256.005219
  1.023779       256.396332
  1.027515       256.448151
  1.031250       255.041565
  1.034986       254.154678
  1.038721       254.118607
  1.042456       253.329819
  1.046191       252.213440
  1.049925       252.160507
  1.053660       251.458359
  1.057394       251.139145
  1.061128       250.846130
  1.064862       250.926682
  1.068596       250.643570
  1.072330       250.427567
  1.076063       250.443985
  1.079797       249.830948
  1.083530       249.870499
  1.087263       249.481796
  1.090996       249.417862
  1.094728       248.846527
  1.098461       248.068573
  1.102193       247.253448
  1.105925       247.040009
  1.109657       247.310272
  1.113389       246.969696
  1.117121       246.792587
  1.120852       246.409500
  1.124584       245.957916
  1.128315       245.893845
  1.132046       245.448029
  1.135777       244.910690
  1.139507       244.696945
  1.143238       244.169830
  1.146968       243.639038
