# Cu foil at 10K
# This data was fabricated from real EXAFS data
# as an example for ifeffit processing
#------------------------
# energy         i0            i1
  8.786204     11750997       4264295.9
  8.796258     11754483       4345967.1
  8.806253     11753720       4367111.9
  8.816270     11760409       4391646.7
  8.826270     11765819       4415398.5
  8.836292     11767326       4437741.1
  8.846337     11765643       4458457.3
  8.856322     11763060       4478423.2
  8.866372     11769573       4502054.0
  8.876361     11773820       4525134.1
  8.886416     11776828       4547484.2
  8.896409     11771669       4564988.7
  8.906425     11769414       4584702.5
  8.916464     11773337       4604599.9
  8.926483     11779459       4625546.7
  8.936483     11786405       4641391.1
  8.936998     11790153       4643028.3
  8.937471     11792642       4643717.6
  8.937944     11793494       4645236.6
  8.938417     11792558       4645974.6
  8.938976     11789781       4644686.3
  8.939406     11787281       4643723.9
  8.939878     11785127       4643406.4
  8.940352     11784258       4643347.0
  8.940824     11784852       4643990.8
  8.941384     11786853       4645330.8
  8.941814     11788510       4646452.6
  8.942287     11789535       4647410.5
  8.942761     11789098       4648039.1
  8.943319     11786596       4647598.9
  8.943793     11783409       4646868.4
  8.944224     11780539       4645115.8
  8.944697     11778399       4644670.2
  8.945257     11778231       4645294.6
  8.945730     11780285       4646152.3
  8.946204     11783854       4647807.7
  8.946635     11787610       4649190.8
  8.947108     11791302       4650926.9
  8.947668     11793991       4652200.5
  8.948143     11794482       4652410.2
  8.948616     11793651       4652350.7
  8.949048     11792359       4651514.6
  8.949564     11791075       4651119.1
  8.950038     11790797       4651564.5
  8.950513     11791552       4651073.8
  8.950987     11792962       4652034.7
  8.951461     11794287       4651860.1
  8.951979     11794693       4652090.5
  8.952453     11793557       4652019.8
  8.952927     11790997       4650575.9
  8.953401     11787597       4648852.6
  8.953876     11784310       4646929.5
  8.954394     11782046       4645767.7
  8.954868     11781904       4645303.1
  8.955343     11783695       4645054.6
  8.955817     11786853       4645693.9
  8.956336     11790694       4646709.7
  8.956811     11793380       4647399.1
  8.957285     11794457       4646667.1
  8.957761     11793725       4645909.3
  8.958235     11791623       4643844.8
  8.958710     11789048       4640894.1
  8.959229     11786927       4638692.6
  8.959703     11786471       4637791.6
  8.960179     11787689       4636342.8
  8.960654     11790202       4636267.7
  8.961130     11793183       4635226.3
  8.961647     11795803       4635207.4
  8.962123     11796849       4633222.8
  8.962599     11796354       4630689.9
  8.963074     11794682       4626875.4
  8.963550     11792615       4623396.5
  8.964068     11790969       4618940.7
  8.964544     11790704       4615804.1
  8.965020     11791766       4612599.1
  8.965496     11793713       4609878.5
  8.965972     11795708       4605864.6
  8.966447     11796836       4601878.4
  8.966967     11796353       4595719.1
  8.967442     11794263       4588389.3
  8.967919     11791122       4579065.2
  8.968395     11787889       4572986.9
  8.968871     11785574       4564880.6
  8.969347     11784900       4553126.7
  8.969909     11786415       4541342.1
  8.970386     11789102       4532406.2
  8.970862     11792094       4518988.6
  8.971339     11794416       4498697.3
  8.971772     11795359       4489925.1
  8.972248     11794982       4469200.8
  8.972812     11793237       4435886.7
  8.973288     11791683       4400301.1
  8.973765     11791051       4355383.0
  8.974198     11791799       4320591.3
  8.974675     11794131       4228617.2
  8.975151     11797504       4164132.7
  8.975628     11800953       4067576.1
  8.976192     11803645       3815002.7
  8.976626     11803935       3523838.7
  8.977103     11802285       3066332.2
  8.977580     11799036       2438036.0
  8.978057     11795132       1986634.3
  8.978534     11791668       1724025.8
  8.979055     11789394       1610248.1
  8.979531     11789048       1572684.4
  8.980009     11790075       1585644.8
  8.980486     11791738       1619402.2
  8.980964     11793172       1660008.5
  8.981441     11793726       1681040.1
  8.981919     11793234       1656900.9
  8.982396     11792065       1613952.0
  8.982918     11790901       1542140.1
  8.983396     11790824       1462586.7
  8.983873     11792219       1401376.4
  8.984352     11795068       1352023.7
  8.984829     11798743       1301237.8
  8.985307     11802276       1223245.3
  8.985785     11804632       1177209.8
  8.986307     11805060       1095275.9
  8.986784     11803419       1021020.1
  8.987263     11800423       920718.82
  8.987741     11797129       851338.18
  8.988219     11794647       762113.17
  8.988697     11793784       684307.18
  8.989176     11794760       632247.93
  8.989653     11797122       584774.85
  8.990132     11799965       529922.02
  8.990698     11802480       475813.00
  8.991133     11803017       455828.42
  8.991611     11801992       435430.67
  8.992090     11799671       431982.01
