# data  : Cu 50K, bare autobk
# xmu: from skey ASCII of cu50k.dat
# using simple minimization
# e0 =  8977.58; pre-edge range =[   -50.0  -200.0]; edge step =  2.281
# k range=[  0.00 25.00]; k weight=  1.00; sills  dk1, dk2  =  0.00  0.00
# bkg r =[  0.00  0.98];   15 knots in spline
# Cu foil at 50K
# # cu50k.dat    : this file is part of the uwxafs 3.0 distribution
# data taken at NSLS beamline X-11A Sept 1992
# by M Newville, B Ravel, and Y Zhang
# foil of 99.999% Cu rolled and annealled to ~12 microns
# sample prepared by M Newville
# From X-11A :
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 619 NSCLRS= 3 EF=     .0
# SRB=   -197.6    -47.3     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
#---------------------------------------------------------------------
#     energy          xmu        
  0.8782347E+04   0.5052520E-02
  0.8792351E+04   -.1138269E-02
  0.8802377E+04   -.1125349E-02
  0.8812386E+04   -.1037389E-02
  0.8822417E+04   -.9244206E-03
  0.8832431E+04   -.9622232E-03
  0.8842467E+04   -.6475117E-03
  0.8852485E+04   -.5759907E-03
  0.8862484E+04   -.4797711E-03
  0.8872507E+04   -.3476000E-03
  0.8882553E+04   -.2035424E-03
  0.8892579E+04   0.5434098E-04
  0.8902586E+04   0.3285616E-03
  0.8912616E+04   0.6996412E-03
  0.8922627E+04   0.1304872E-02
  0.8932618E+04   0.2022597E-02
  0.8933133E+04   0.2062893E-02
  0.8933605E+04   0.2248941E-02
  0.8934077E+04   0.2235028E-02
  0.8934550E+04   0.2276843E-02
  0.8935065E+04   0.2332210E-02
  0.8935538E+04   0.2380583E-02
  0.8936011E+04   0.2470842E-02
  0.8936526E+04   0.2477321E-02
  0.8936998E+04   0.2514334E-02
  0.8937471E+04   0.2606108E-02
  0.8937944E+04   0.2597801E-02
  0.8938417E+04   0.2648500E-02
  0.8938976E+04   0.2699625E-02
  0.8939406E+04   0.2872560E-02
  0.8939878E+04   0.2848770E-02
  0.8940352E+04   0.2911300E-02
  0.8940910E+04   0.3022915E-02
  0.8941384E+04   0.3027647E-02
  0.8941814E+04   0.3091126E-02
  0.8942287E+04   0.3150866E-02
  0.8942847E+04   0.3170291E-02
  0.8943319E+04   0.3292009E-02
  0.8943793E+04   0.3375651E-02
  0.8944224E+04   0.3441587E-02
  0.8944740E+04   0.3532589E-02
  0.8945214E+04   0.3587829E-02
  0.8945688E+04   0.3764199E-02
  0.8946161E+04   0.3748738E-02
  0.8946678E+04   0.3855470E-02
  0.8947151E+04   0.3972636E-02
  0.8947626E+04   0.4065261E-02
  0.8948100E+04   0.4177045E-02
  0.8948573E+04   0.4301737E-02
  0.8949090E+04   0.4313462E-02
  0.8949564E+04   0.4415259E-02
  0.8950038E+04   0.4522601E-02
  0.8950513E+04   0.4708508E-02
  0.8950987E+04   0.4775892E-02
  0.8951504E+04   0.4834964E-02
  0.8951979E+04   0.5039841E-02
  0.8952453E+04   0.5059696E-02
  0.8952927E+04   0.5203698E-02
  0.8953444E+04   0.5402008E-02
  0.8953919E+04   0.5473782E-02
  0.8954394E+04   0.5714456E-02
  0.8954868E+04   0.5867832E-02
  0.8955343E+04   0.5888183E-02
  0.8955860E+04   0.6103111E-02
  0.8956336E+04   0.6231372E-02
  0.8956811E+04   0.6390313E-02
  0.8957285E+04   0.6654844E-02
  0.8957761E+04   0.6818326E-02
  0.8958278E+04   0.7074042E-02
  0.8958753E+04   0.7190602E-02
  0.8959229E+04   0.7425861E-02
  0.8959703E+04   0.7639231E-02
  0.8960179E+04   0.7862027E-02
  0.8960654E+04   0.8101651E-02
  0.8961172E+04   0.8373279E-02
  0.8961647E+04   0.8659804E-02
  0.8962123E+04   0.8965536E-02
  0.8962599E+04   0.9279261E-02
  0.8963074E+04   0.9576683E-02
  0.8963593E+04   0.9984832E-02
  0.8964068E+04   0.1044603E-01
  0.8964544E+04   0.1084486E-01
  0.8965020E+04   0.1120277E-01
  0.8965496E+04   0.1167502E-01
  0.8965972E+04   0.1224654E-01
  0.8966490E+04   0.1292999E-01
  0.8966967E+04   0.1345938E-01
  0.8967442E+04   0.1423980E-01
  0.8967919E+04   0.1500130E-01
  0.8968395E+04   0.1555348E-01
  0.8968914E+04   0.1653603E-01
  0.8969390E+04   0.1754187E-01
  0.8969866E+04   0.1859837E-01
  0.8970343E+04   0.2001702E-01
  0.8970819E+04   0.2118224E-01
  0.8971296E+04   0.2339008E-01
  0.8971772E+04   0.2471389E-01
  0.8972292E+04   0.2711766E-01
  0.8972769E+04   0.2938535E-01
  0.8973245E+04   0.3329526E-01
  0.8973722E+04   0.3722931E-01
  0.8974198E+04   0.4212162E-01
  0.8974675E+04   0.5087804E-01
  0.8975238E+04   0.6084541E-01
  0.8975715E+04   0.7120205E-01
  0.8976192E+04   0.9265352E-01
  0.8976626E+04   0.1315920E+00
  0.8977103E+04   0.1891828E+00
  0.8977580E+04   0.2920551E+00
  0.8978057E+04   0.3738382E+00
  0.8978621E+04   0.4550219E+00
  0.8979055E+04   0.4713765E+00
  0.8979531E+04   0.4856012E+00
  0.8980009E+04   0.4833331E+00
  0.8980486E+04   0.4731860E+00
  0.8980964E+04   0.4623721E+00
  0.8981441E+04   0.4564890E+00
  0.8981962E+04   0.4636106E+00
  0.8982440E+04   0.4743704E+00
  0.8982918E+04   0.4947519E+00
  0.8983396E+04   0.5176183E+00
  0.8983873E+04   0.5364135E+00
  0.8984352E+04   0.5521896E+00
  0.8984829E+04   0.5694087E+00
  0.8985307E+04   0.5964561E+00
  0.8985828E+04   0.6162181E+00
  0.8986307E+04   0.6438475E+00
  0.8986784E+04   0.6757286E+00
  0.8987263E+04   0.7205322E+00
  0.8987741E+04   0.7547000E+00
  0.8988219E+04   0.8025191E+00
  0.8988697E+04   0.8503073E+00
  0.8989176E+04   0.8846474E+00
  0.8989741E+04   0.9297900E+00
  0.8990220E+04   0.9687011E+00
  0.8990698E+04   0.1006949E+01
  0.8991133E+04   0.1029612E+01
  0.8991611E+04   0.1049341E+01
  0.8992090E+04   0.1052832E+01
  0.8992568E+04   0.1046642E+01
  0.8993048E+04   0.1036896E+01
  0.8993526E+04   0.1020404E+01
  0.8994049E+04   0.1001452E+01
  0.8994527E+04   0.9858077E+00
  0.8995007E+04   0.9681639E+00
  0.8995485E+04   0.9530532E+00
  0.8995965E+04   0.9446245E+00
  0.8996444E+04   0.9390136E+00
  0.8996924E+04   0.9363737E+00
  0.8997402E+04   0.9402133E+00
  0.8997882E+04   0.9491021E+00
  0.8998361E+04   0.9634845E+00
  0.8998884E+04   0.9928164E+00
  0.8999363E+04   0.1012358E+01
  0.8999843E+04   0.1032144E+01
  0.9000323E+04   0.1050725E+01
  0.9000803E+04   0.1069367E+01
  0.9001281E+04   0.1077100E+01
  0.9001762E+04   0.1075502E+01
  0.9002241E+04   0.1067373E+01
  0.9002721E+04   0.1052317E+01
  0.9003201E+04   0.1039399E+01
  0.9003681E+04   0.1024402E+01
