# data from ifeffit
#------------------------
#   energy    f1
  8774.1040       -3.4132395
  8775.1040       -3.3980377
  8776.1040       -3.4001097
  8777.1040       -3.3995803
  8778.1040       -3.4033748
  8779.1040       -3.4061799
  8780.1040       -3.4107987
  8781.1040       -3.4152110
  8782.1040       -3.4203182
  8783.1040       -3.4256015
  8784.1040       -3.4308535
  8785.1040       -3.4364902
  8786.1040       -3.4416425
  8787.1040       -3.4473634
  8788.1040       -3.4523007
  8789.1040       -3.4579675
  8790.1040       -3.4626466
  8791.1040       -3.4682091
  8792.1040       -3.4726553
  8793.1040       -3.4781629
  8794.1040       -3.4825114
  8795.1040       -3.4880950
  8796.1040       -3.4924583
  8797.1040       -3.4981774
  8798.1040       -3.5026062
  8799.1040       -3.5084862
  8800.1040       -3.5130051
  8801.1040       -3.5190522
  8802.1040       -3.5236650
  8803.1040       -3.5298632
  8804.1040       -3.5345448
  8805.1040       -3.5408592
  8806.1040       -3.5455877
  8807.1040       -3.5520011
  8808.1040       -3.5567680
  8809.1040       -3.5632717
  8810.1040       -3.5680736
  8811.1040       -3.5746636
  8812.1040       -3.5795004
  8813.1040       -3.5861763
  8814.1040       -3.5910517
  8815.1040       -3.5978165
  8816.1040       -3.6027349
  8817.1040       -3.6095915
  8818.1040       -3.6145574
  8819.1040       -3.6215098
  8820.1040       -3.6265285
  8821.1040       -3.6335824
  8822.1040       -3.6386615
  8823.1040       -3.6458258
  8824.1040       -3.6509777
  8825.1040       -3.6582652
  8826.1040       -3.6635002
  8827.1040       -3.6709176
  8828.1040       -3.6762405
  8829.1040       -3.6837910
  8830.1040       -3.6892035
  8831.1040       -3.6968873
  8832.1040       -3.7023877
  8833.1040       -3.7102008
  8834.1040       -3.7157815
  8835.1040       -3.7237155
  8836.1040       -3.7293700
  8837.1040       -3.7374209
  8838.1040       -3.7431460
  8839.1040       -3.7513120
  8840.1040       -3.7571058
  8841.1040       -3.7653858
  8842.1040       -3.7712464
  8843.1040       -3.7796386
  8844.1040       -3.7855625
  8845.1040       -3.7940642
  8846.1040       -3.8000503
  8847.1040       -3.8086640
  8848.1040       -3.8147157
  8849.1040       -3.8234477
  8850.1040       -3.8295723
  8851.1040       -3.8384329
  8852.1040       -3.8446423
  8853.1040       -3.8536491
  8854.1040       -3.8599658
  8855.1040       -3.8691440
  8856.1040       -3.8755870
  8857.1040       -3.8849514
  8858.1040       -3.8915307
  8859.1040       -3.9010898
  8860.1040       -3.9078099
  8861.1040       -3.9175677
  8862.1040       -3.9244284
  8863.1040       -3.9343822
  8864.1040       -3.9413744
  8865.1040       -3.9515152
  8866.1040       -3.9586311
  8867.1040       -3.9689565
  8868.1040       -3.9761941
  8869.1040       -3.9867055
  8870.1040       -3.9940651
  8871.1040       -4.0047657
  8872.1040       -4.0122489
  8873.1040       -4.0231427
  8874.1040       -4.0307512
  8875.1040       -4.0418429
  8876.1040       -4.0495806
  8877.1040       -4.0608782
  8878.1040       -4.0687522
  8879.1040       -4.0802673
  8880.1040       -4.0882877
  8881.1040       -4.1000350
  8882.1040       -4.1082160
  8883.1040       -4.1202163
  8884.1040       -4.1285808
  8885.1040       -4.1408622
  8886.1040       -4.1494312
  8887.1040       -4.1620136
  8888.1040       -4.1708006
  8889.1040       -4.1836992
  8890.1040       -4.1927137
  8891.1040       -4.2059403
  8892.1040       -4.2151879
  8893.1040       -4.2287493
  8894.1040       -4.2382285
  8895.1040       -4.2521263
  8896.1040       -4.2618369
  8897.1040       -4.2760802
  8898.1040       -4.2860291
  8899.1040       -4.3006322
  8900.1040       -4.3108302
  8901.1040       -4.3258113
  8902.1040       -4.3362720
  8903.1040       -4.3516537
  8904.1040       -4.3623980
  8905.1040       -4.3782103
  8906.1040       -4.3892589
  8907.1040       -4.4055262
  8908.1040       -4.4168938
  8909.1040       -4.4336371
  8910.1040       -4.4453344
  8911.1040       -4.4625706
  8912.1040       -4.4746021
  8913.1040       -4.4923377
  8914.1040       -4.5046882
  8915.1040       -4.5229161
  8916.1040       -4.5355833
  8917.1040       -4.5543316
  8918.1040       -4.5673471
  8919.1040       -4.5866737
  8920.1040       -4.6000967
  8921.1040       -4.6200913
  8922.1040       -4.6340195
  8923.1040       -4.6548342
  8924.1040       -4.6694641
  8925.1040       -4.6913327
  8926.1040       -4.7068241
  8927.1040       -4.7298423
  8928.1040       -4.7462071
  8929.1040       -4.7703464
  8930.1040       -4.7874663
  8931.1040       -4.8125292
  8932.1040       -4.8299538
  8933.1040       -4.8550285
  8934.1040       -4.8723810
  8935.1040       -4.8988529
  8936.1040       -4.9172785
  8937.1040       -4.9451501
  8938.1040       -4.9646208
  8939.1040       -4.9941369
  8940.1040       -5.0143941
  8941.1040       -5.0456411
  8942.1040       -5.0675711
  8943.1040       -5.0998408
  8944.1040       -5.1227094
  8945.1040       -5.1575846
  8946.1040       -5.1819571
  8947.1040       -5.2187278
  8948.1040       -5.2448431
  8949.1040       -5.2841504
  8950.1040       -5.3117618
  8951.1040       -5.3536476
  8952.1040       -5.3834083
  8953.1040       -5.4288198
  8954.1040       -5.4609785
  8955.1040       -5.5099391
  8956.1040       -5.5451375
  8957.1040       -5.5989051
  8958.1040       -5.6374217
  8959.1040       -5.6966679
  8960.1040       -5.7392558
  8961.1040       -5.8052245
  8962.1040       -5.8529462
  8963.1040       -5.9272521
  8964.1040       -5.9816795
  8965.1040       -6.0678243
  8966.1040       -6.1309883
  8967.1040       -6.2320158
  8968.1040       -6.3100080
  8969.1040       -6.4329544
  8970.1040       -6.5307112
  8971.1040       -6.6941858
  8972.1040       -6.8357325
  8973.1040       -7.0711674
  8974.1040       -7.3229790
  8975.1040       -7.7168276
  8976.1040       -7.6311068
  8977.1040       -7.3380921
  8978.1040       -6.8704770
  8979.1040       -7.2478497
  8980.1040       -7.5147495
  8981.1040       -7.4358383
  8982.1040       -7.5047844
  8983.1040       -7.4736805
  8984.1040       -7.5656997
  8985.1040       -7.5715687
  8986.1040       -7.5664382
  8987.1040       -7.4375124
  8988.1040       -7.2776601
  8989.1040       -6.9834978
  8990.1040       -6.6625833
  8991.1040       -6.3776551
  8992.1040       -6.2164565
  8993.1040       -6.1118695
  8994.1040       -6.1133114
  8995.1040       -6.1293044
  8996.1040       -6.1772018
  8997.1040       -6.1264236
  8998.1040       -6.0265888
  8999.1040       -5.8289669
  9000.1040       -5.6172049
  9001.1040       -5.4564584
  9002.1040       -5.3604436
  9003.1040       -5.3002835
  9004.1040       -5.2871999
  9005.1040       -5.2739541
  9006.1040       -5.2867055
  9007.1040       -5.3119038
