# diffkk: no title lines specified
#------------------------
#   energy    f1        f2        f1_cl     f2_cl
  8774.1040       -3.4251293       0.47827796       -3.3794303       0.50842333
  8775.1040       -3.4071342       0.47950830       -3.3814899       0.50752235
  8776.1040       -3.4116376       0.48005668       -3.3853208       0.50722379
  8777.1040       -3.4096565       0.48121852       -3.3896212       0.50704833
  8778.1040       -3.4156445       0.48133196       -3.3941309       0.50691537
  8779.1040       -3.4166114       0.48142617       -3.3987635       0.50680168
  8780.1040       -3.4226172       0.48108634       -3.4034814       0.50669827
  8781.1040       -3.4244942       0.48054841       -3.4082651       0.50660100
  8782.1040       -3.4301505       0.48006275       -3.4131037       0.50650772
  8783.1040       -3.4323433       0.47931951       -3.4179902       0.50641718
  8784.1040       -3.4376713       0.47894709       -3.4229202       0.50632863
  8785.1040       -3.4400495       0.47824071       -3.4278906       0.50624161
  8786.1040       -3.4451659       0.47810993       -3.4328994       0.50615578
  8787.1040       -3.4477373       0.47756415       -3.4379450       0.50607093
  8788.1040       -3.4527825       0.47772833       -3.4430264       0.50598690
  8789.1040       -3.4556167       0.47738694       -3.4481428       0.50590357
  8790.1040       -3.4607418       0.47783094       -3.4532937       0.50582087
  8791.1040       -3.4639360       0.47764643       -3.4584787       0.50573872
  8792.1040       -3.4692543       0.47824913       -3.4636975       0.50565709
  8793.1040       -3.4728132       0.47808886       -3.4689500       0.50557594
  8794.1040       -3.4783069       0.47873389       -3.4742361       0.50549523
  8795.1040       -3.4821651       0.47852846       -3.4795558       0.50541495
  8796.1040       -3.4877931       0.47916352       -3.4849093       0.50533508
  8797.1040       -3.4918894       0.47888312       -3.4902965       0.50525561
  8798.1040       -3.4976113       0.47948385       -3.4957176       0.50517653
  8799.1040       -3.5018898       0.47911947       -3.5011729       0.50509783
  8800.1040       -3.5076657       0.47968232       -3.5066624       0.50501950
  8801.1040       -3.5120753       0.47924710       -3.5121865       0.50494155
  8802.1040       -3.5178756       0.47979635       -3.5177454       0.50486397
  8803.1040       -3.5223942       0.47932433       -3.5233393       0.50478676
  8804.1040       -3.5282218       0.47988528       -3.5289685       0.50470992
  8805.1040       -3.5328492       0.47939565       -3.5346335       0.50463345
  8806.1040       -3.5387133       0.47997959       -3.5403343       0.50455736
  8807.1040       -3.5434519       0.47948228       -3.5460715       0.50448163
  8808.1040       -3.5493619       0.48009492       -3.5518454       0.50440629
  8809.1040       -3.5542152       0.47959524       -3.5576562       0.50433133
  8810.1040       -3.5601807       0.48023888       -3.5635045       0.50425675
  8811.1040       -3.5651532       0.47973869       -3.5693905       0.50418256
  8812.1040       -3.5711830       0.48041195       -3.5753148       0.50410876
  8813.1040       -3.5762779       0.47990976       -3.5812777       0.50403536
  8814.1040       -3.5823781       0.48061018       -3.5872796       0.50396237
  8815.1040       -3.5875974       0.48010455       -3.5933210       0.50388978
  8816.1040       -3.5937740       0.48082971       -3.5994023       0.50381761
  8817.1040       -3.5991201       0.48031838       -3.6055239       0.50374586
  8818.1040       -3.6053789       0.48106509       -3.6116865       0.50367453
  8819.1040       -3.6108551       0.48054436       -3.6178904       0.50360364
  8820.1040       -3.6172018       0.48130734       -3.6241361       0.50353319
  8821.1040       -3.6228112       0.48077058       -3.6304242       0.50346318
  8822.1040       -3.6292494       0.48154015       -3.6367551       0.50339363
  8823.1040       -3.6349891       0.48097675       -3.6431294       0.50332455
  8824.1040       -3.6415143       0.48174433       -3.6495477       0.50325593
  8825.1040       -3.6473761       0.48114916       -3.6560104       0.50318779
  8826.1040       -3.6539817       0.48191187       -3.6625182       0.50312014
  8827.1040       -3.6599576       0.48128373       -3.6690717       0.50305299
