# diffkk: no title lines specified
#------------------------
#   energy    f1        f2        f1_cl     f2_cl
  6550.0000       -2.2594726       0.54242764       -2.2594726       0.54242764
  6551.0000       -2.2610808       0.54227897       -2.2610808       0.54227897
  6552.0000       -2.2626921       0.54213037       -2.2626921       0.54213037
  6553.0000       -2.2643066       0.54198182       -2.2643066       0.54198182
  6554.0000       -2.2659242       0.54183334       -2.2659242       0.54183334
  6555.0000       -2.2675449       0.54168492       -2.2675449       0.54168492
  6556.0000       -2.2691688       0.54153656       -2.2691688       0.54153656
  6557.0000       -2.2707959       0.54138826       -2.2707959       0.54138826
  6558.0000       -2.2724262       0.54124002       -2.2724262       0.54124002
  6559.0000       -2.2740596       0.54109185       -2.2740596       0.54109185
  6560.0000       -2.2756963       0.54094374       -2.2756963       0.54094374
  6561.0000       -2.2773362       0.54079569       -2.2773362       0.54079569
  6562.0000       -2.2789794       0.54064770       -2.2789794       0.54064770
  6563.0000       -2.2806257       0.54049977       -2.2806257       0.54049977
  6564.0000       -2.2822754       0.54035191       -2.2822754       0.54035191
  6565.0000       -2.2839283       0.54020411       -2.2839283       0.54020411
  6566.0000       -2.2855845       0.54005636       -2.2855845       0.54005636
  6567.0000       -2.2872440       0.53990868       -2.2872440       0.53990868
  6568.0000       -2.2889068       0.53976107       -2.2889068       0.53976107
  6569.0000       -2.2905730       0.53961351       -2.2905730       0.53961351
  6570.0000       -2.2922425       0.53946601       -2.2922425       0.53946601
  6571.0000       -2.2939153       0.53931858       -2.2939153       0.53931858
  6572.0000       -2.2955915       0.53917120       -2.2955915       0.53917120
  6573.0000       -2.2972711       0.53902389       -2.2972711       0.53902389
  6574.0000       -2.2989540       0.53887664       -2.2989540       0.53887664
  6575.0000       -2.3006404       0.53872945       -2.3006404       0.53872945
  6576.0000       -2.3023301       0.53858232       -2.3023301       0.53858232
  6577.0000       -2.3040233       0.53843526       -2.3040233       0.53843526
  6578.0000       -2.3057200       0.53828825       -2.3057200       0.53828825
  6579.0000       -2.3074201       0.53814131       -2.3074201       0.53814131
  6580.0000       -2.3091237       0.53799442       -2.3091237       0.53799442
  6581.0000       -2.3108307       0.53784760       -2.3108307       0.53784760
  6582.0000       -2.3125413       0.53770084       -2.3125413       0.53770084
  6583.0000       -2.3142553       0.53755414       -2.3142553       0.53755414
  6584.0000       -2.3159729       0.53740750       -2.3159729       0.53740750
  6585.0000       -2.3176940       0.53726092       -2.3176940       0.53726092
  6586.0000       -2.3194187       0.53711440       -2.3194187       0.53711440
  6587.0000       -2.3211470       0.53696795       -2.3211470       0.53696795
  6588.0000       -2.3228788       0.53682155       -2.3228788       0.53682155
  6589.0000       -2.3246142       0.53667522       -2.3246142       0.53667522
  6590.0000       -2.3263532       0.53652894       -2.3263532       0.53652894
  6591.0000       -2.3280959       0.53638273       -2.3280959       0.53638273
  6592.0000       -2.3298422       0.53623657       -2.3298422       0.53623657
  6593.0000       -2.3315921       0.53609048       -2.3315921       0.53609048
  6594.0000       -2.3333458       0.53594445       -2.3333458       0.53594445
  6595.0000       -2.3351031       0.53579848       -2.3351031       0.53579848
  6596.0000       -2.3368641       0.53565257       -2.3368641       0.53565257
  6597.0000       -2.3386288       0.53550672       -2.3386288       0.53550672
  6598.0000       -2.3403972       0.53536093       -2.3403972       0.53536093
  6599.0000       -2.3421694       0.53521520       -2.3421694       0.53521520
  6600.0000       -2.3439454       0.53506953       -2.3439454       0.53506953
  6601.0000       -2.3457251       0.53492392       -2.3457251       0.53492392
  6602.0000       -2.3475086       0.53477837       -2.3475086       0.53477837
  6603.0000       -2.3492959       0.53463289       -2.3492959       0.53463289
  6604.0000       -2.3510870       0.53448746       -2.3510870       0.53448746
  6605.0000       -2.3528820       0.53434209       -2.3528820       0.53434209
  6606.0000       -2.3546808       0.53419678       -2.3546808       0.53419678
  6607.0000       -2.3564835       0.53405154       -2.3564835       0.53405154
  6608.0000       -2.3582901       0.53390635       -2.3582901       0.53390635
  6609.0000       -2.3601006       0.53376122       -2.3601006       0.53376122
  6610.0000       -2.3619150       0.53361616       -2.3619150       0.53361616
  6611.0000       -2.3637333       0.53347115       -2.3637333       0.53347115
  6612.0000       -2.3655556       0.53332620       -2.3655556       0.53332620
  6613.0000       -2.3673819       0.53318132       -2.3673819       0.53318132
  6614.0000       -2.3692121       0.53303649       -2.3692121       0.53303649
  6615.0000       -2.3710463       0.53289172       -2.3710463       0.53289172
  6616.0000       -2.3728846       0.53274702       -2.3728846       0.53274702
  6617.0000       -2.3747269       0.53260237       -2.3747269       0.53260237
  6618.0000       -2.3765732       0.53245778       -2.3765732       0.53245778
  6619.0000       -2.3784236       0.53231325       -2.3784236       0.53231325
  6620.0000       -2.3802781       0.53216879       -2.3802781       0.53216879
  6621.0000       -2.3821367       0.53202438       -2.3821367       0.53202438
  6622.0000       -2.3839994       0.53188003       -2.3839994       0.53188003
  6623.0000       -2.3858663       0.53173574       -2.3858663       0.53173574
  6624.0000       -2.3877373       0.53159151       -2.3877373       0.53159151
  6625.0000       -2.3896125       0.53144734       -2.3896125       0.53144734
  6626.0000       -2.3914918       0.53130323       -2.3914918       0.53130323
  6627.0000       -2.3933754       0.53115918       -2.3933754       0.53115918
  6628.0000       -2.3952632       0.53101519       -2.3952632       0.53101519
  6629.0000       -2.3971553       0.53087126       -2.3971553       0.53087126
  6630.0000       -2.3990516       0.53072738       -2.3990516       0.53072738
  6631.0000       -2.4009522       0.53058357       -2.4009522       0.53058357
  6632.0000       -2.4028571       0.53043982       -2.4028571       0.53043982
  6633.0000       -2.4047663       0.53029612       -2.4047663       0.53029612
  6634.0000       -2.4066799       0.53015249       -2.4066799       0.53015249
  6635.0000       -2.4085978       0.53000891       -2.4085978       0.53000891
  6636.0000       -2.4105201       0.52986540       -2.4105201       0.52986540
  6637.0000       -2.4124468       0.52972194       -2.4124468       0.52972194
  6638.0000       -2.4143779       0.52957854       -2.4143779       0.52957854
  6639.0000       -2.4163135       0.52943520       -2.4163135       0.52943520
  6640.0000       -2.4182535       0.52929192       -2.4182535       0.52929192
  6641.0000       -2.4201979       0.52914870       -2.4201979       0.52914870
  6642.0000       -2.4221469       0.52900554       -2.4221469       0.52900554
  6643.0000       -2.4241004       0.52886243       -2.4241004       0.52886243
  6644.0000       -2.4260584       0.52871939       -2.4260584       0.52871939
  6645.0000       -2.4280210       0.52857640       -2.4280210       0.52857640
  6646.0000       -2.4299881       0.52843348       -2.4299881       0.52843348
  6647.0000       -2.4319599       0.52829061       -2.4319599       0.52829061
  6648.0000       -2.4339362       0.52814780       -2.4339362       0.52814780
  6649.0000       -2.4359172       0.52800505       -2.4359172       0.52800505
  6650.0000       -2.4379029       0.52786236       -2.4379029       0.52786236
  6651.0000       -2.4398932       0.52771973       -2.4398932       0.52771973
  6652.0000       -2.4418882       0.52757715       -2.4418882       0.52757715
  6653.0000       -2.4438880       0.52743464       -2.4438880       0.52743464
  6654.0000       -2.4458925       0.52729218       -2.4458925       0.52729218
  6655.0000       -2.4479017       0.52714978       -2.4479017       0.52714978
  6656.0000       -2.4499158       0.52700744       -2.4499158       0.52700744
  6657.0000       -2.4519347       0.52686516       -2.4519347       0.52686516
  6658.0000       -2.4539583       0.52672294       -2.4539583       0.52672294
  6659.0000       -2.4559869       0.52658078       -2.4559869       0.52658078
  6660.0000       -2.4580203       0.52643867       -2.4580203       0.52643867
  6661.0000       -2.4600586       0.52629662       -2.4600586       0.52629662
  6662.0000       -2.4621018       0.52615463       -2.4621018       0.52615463
  6663.0000       -2.4641500       0.52601270       -2.4641500       0.52601270
