 name:     yttrium barium copper oxide ( 123 ,  ybco)             Feff  7.023
 formula:  YBa2Cu3O7
 sites:    Y1,Ba1,Cu1,Cu2,O1-4
 refer1:   Sharma, et al, Physica C 174, p.409, (1991)
 refer2:   Cava,  et al,  Physica C 165, p.419, (1990)
 notes:    high-temperature superconductor
 Abs   Z=29 Rmt= 1.003 Rnm= 1.266 K  shell
 Pot 1 Z= 8 Rmt= 0.960 Rnm= 1.125
 Pot 2 Z=56 Rmt= 1.770 Rnm= 1.956
 Pot 3 Z=29 Rmt= 1.003 Rnm= 1.266
 Pot 4 Z=39 Rmt= 1.474 Rnm= 1.805
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.406E+00 kf=1.838E+00 Vint=-1.828E+01 Rs_int= 1.973
 S02  1.000  Temp   30.00  Debye temp  210.00  Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
          1       0.00943    100.00      2.00     2   1.8596
          2       0.00982     90.65      2.00     2   1.9406
          3       0.01650     15.57      8.00     3   3.2441
          4       0.00412    100.00      8.00     2   3.4612
          5       0.02249      9.12      2.00     3   3.7193
          6       0.02249      8.67      2.00     4   3.7193
          7       0.03772      4.01      2.00     4   3.7193
          8       0.00567     12.12      2.00     2   3.8120
          9       0.00568     11.59      2.00     2   3.8813
         10       0.02255      7.75      2.00     3   3.8813
         11       0.00568     31.06      4.00     3   3.8813
         12       0.02255      7.17      2.00     4   3.8813
         14       0.00568     20.69      2.00     4   3.8813
         15       0.00760     13.83     16.00     3   4.0277
         16       0.00566      9.93      2.00     2   4.1273
         17       0.00566     25.99      4.00     3   4.1273
         18       0.00566     16.82      2.00     4   4.1273
         19       0.00814     10.49     16.00     3   4.1340
         20       0.01431     14.71      4.00     2   4.2414
         21       0.01430     14.36      4.00     2   4.2775
         22       0.01429     14.11      4.00     2   4.3038
         23       0.01491     14.04      8.00     3   4.4661
         24       0.01968      4.97      8.00     4   4.5942
         25       0.01843      5.26      4.00     4   4.6285
         26       0.01411     10.30      4.00     2   4.7976
         27       0.01411     10.22      4.00     2   4.8104
         28       0.01474     12.53      8.00     3   4.9176
         29       0.01475     12.18      8.00     3   4.9340
         30       0.01748      5.11      4.00     4   5.0377
         31       0.01758      4.93      4.00     4   5.0577
         32       0.01204     11.86     16.00     3   5.0791
         33       0.01196      9.35     16.00     3   5.1133
         34       0.01210     10.38     16.00     3   5.2186
         35       0.01217     10.55     16.00     3   5.2498
