 name:     MnO                                                    Feff  7.023
 formula:  MnO
 sites:    Mn1,O1
 refer1:   wyckoff 1,III,88
 refer2:
 schoen:
 notes1:   salt, halite
 Abs   Z=25 Rmt= 1.281 Rnm= 1.490 K  shell
 Pot 1 Z=25 Rmt= 1.284 Rnm= 1.497
 Pot 2 Z= 8 Rmt= 0.939 Rnm= 1.094
 Gam_ch=1.205E+00 H-L exch
 Mu=-3.861E+00 kf=1.948E+00 Vint=-1.831E+01 Rs_int= 1.862
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   6.000   2.2224    2.5281   -3.86078 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  25 Mn       absorbing atom
     0.0000    0.0000   -2.2224  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.7716E+00  0.0000E+00 -2.1348E+00  1.034E+00  2.4636E+01  1.9481E+00
  0.100  1.7696E+00  5.3921E-02 -2.5691E+00  1.034E+00  2.4667E+01  1.9506E+00
  0.200  1.7635E+00  1.0719E-01 -2.9833E+00  1.034E+00  2.4756E+01  1.9580E+00
  0.300  1.7534E+00  1.5919E-01 -3.3773E+00  1.034E+00  2.4893E+01  1.9702E+00
  0.400  1.7394E+00  2.0937E-01 -3.7516E+00  1.033E+00  2.5061E+01  1.9872E+00
  0.500  1.7215E+00  2.5729E-01 -4.1063E+00  1.033E+00  2.5236E+01  2.0088E+00
  0.600  1.6998E+00  3.0260E-01 -4.4420E+00  1.033E+00  2.5392E+01  2.0350E+00
  0.700  1.6743E+00  3.4506E-01 -4.7589E+00  1.034E+00  2.5496E+01  2.0655E+00
  0.800  1.6452E+00  3.8454E-01 -5.0575E+00  1.034E+00  2.5517E+01  2.1002E+00
  0.900  1.6124E+00  4.2100E-01 -5.3383E+00  1.035E+00  2.5426E+01  2.1390E+00
  1.000  1.5759E+00  4.5444E-01 -5.6017E+00  1.036E+00  2.5201E+01  2.1818E+00
  1.100  1.5359E+00  4.8494E-01 -5.8479E+00  1.038E+00  2.4829E+01  2.2283E+00
  1.200  1.4922E+00  5.1262E-01 -6.0774E+00  1.040E+00  2.4308E+01  2.2784E+00
  1.300  1.4449E+00  5.3758E-01 -6.2905E+00  1.043E+00  2.3651E+01  2.3321E+00
  1.400  1.3937E+00  5.5998E-01 -6.4872E+00  1.046E+00  2.2878E+01  2.3893E+00
  1.500  1.3387E+00  5.7992E-01 -6.6679E+00  1.050E+00  2.2020E+01  2.4499E+00
  1.600  1.2795E+00  5.9751E-01 -6.8324E+00  1.054E+00  2.1112E+01  2.5139E+00
  1.700  1.2160E+00  6.1285E-01 -6.9809E+00  1.058E+00  2.0191E+01  2.5813E+00
  1.800  1.1479E+00  6.2597E-01 -7.1133E+00  1.063E+00  1.9293E+01  2.6521E+00
  1.900  1.0748E+00  6.3688E-01 -7.2293E+00  1.068E+00  1.8451E+01  2.7264E+00
  2.200  8.2048E-01  6.5521E-01 -7.4731E+00  1.080E+00  1.6548E+01  2.9723E+00
  2.400  5.8130E-01  6.6563E-01 -7.5357E+00  1.153E+00  1.1231E+01  3.1707E+00
  2.600  4.7582E-01  7.1299E-01 -7.7502E+00  1.276E+00  7.4301E+00  3.3208E+00
  2.800  4.1818E-01  7.4255E-01 -7.9786E+00  1.317E+00  6.4663E+00  3.4516E+00
  3.000  3.2980E-01  7.5101E-01 -8.1533E+00  1.333E+00  6.0135E+00  3.5940E+00
  3.200  2.2753E-01  7.4347E-01 -8.2997E+00  1.327E+00  5.8146E+00  3.7427E+00
  3.400  1.1518E-01  7.2367E-01 -8.4283E+00  1.315E+00  5.7540E+00  3.8971E+00
  3.600 -5.0499E-03  6.9513E-01 -8.5409E+00  1.293E+00  5.7801E+00  4.0565E+00
  3.800 -1.3100E-01  6.5973E-01 -8.6447E+00  1.270E+00  5.8659E+00  4.2203E+00
  4.000 -2.6051E-01  6.2096E-01 -8.7427E+00  1.247E+00  5.9959E+00  4.3881E+00
  4.200 -3.9199E-01  5.8061E-01 -8.8379E+00  1.224E+00  6.1602E+00  4.5594E+00
  4.400 -5.2414E-01  5.4029E-01 -8.9316E+00  1.202E+00  6.3523E+00  4.7337E+00
  4.600 -6.5592E-01  5.0186E-01 -9.0234E+00  1.180E+00  6.5676E+00  4.9106E+00
  4.800 -7.8707E-01  4.6541E-01 -9.1135E+00  1.160E+00  6.8029E+00  5.0900E+00
  5.000 -9.1684E-01  4.3156E-01 -9.2013E+00  1.142E+00  7.0557E+00  5.2713E+00
  5.200 -1.0449E+00  4.0015E-01 -9.2859E+00  1.125E+00  7.3241E+00  5.4546E+00
  5.400 -1.1712E+00  3.7107E-01 -9.3655E+00  1.109E+00  7.6066E+00  5.6394E+00
  5.600 -1.2955E+00  3.4376E-01 -9.4409E+00  1.095E+00  7.9021E+00  5.8256E+00
  5.800 -1.4180E+00  3.1828E-01 -9.5118E+00  1.083E+00  8.2095E+00  6.0130E+00
  6.000 -1.5388E+00  2.9458E-01 -9.5783E+00  1.071E+00  8.5282E+00  6.2016E+00
  6.500 -1.8324E+00  2.4268E-01 -9.7277E+00  1.047E+00  9.3696E+00  6.6771E+00
  7.000 -2.1135E+00  2.0135E-01 -9.8626E+00  1.027E+00  1.0269E+01  7.1572E+00
  7.500 -2.3815E+00  1.7085E-01 -9.9984E+00  1.008E+00  1.1221E+01  7.6409E+00
  8.000 -2.6401E+00  1.4957E-01 -1.0135E+01  9.885E-01  1.2222E+01  8.1273E+00
  8.500 -2.8905E+00  1.3392E-01 -1.0263E+01  9.728E-01  1.3269E+01  8.6158E+00
  9.000 -3.1308E+00  1.2001E-01 -1.0373E+01  9.611E-01  1.4359E+01  9.1060E+00
  9.500 -3.3612E+00  1.0584E-01 -1.0467E+01  9.525E-01  1.5490E+01  9.5977E+00
 10.000 -3.5827E+00  9.1879E-02 -1.0552E+01  9.459E-01  1.6660E+01  1.0090E+01
 10.500 -3.7949E+00  8.0114E-02 -1.0638E+01  9.409E-01  1.7869E+01  1.0584E+01
 12.000 -4.3727E+00  6.2976E-02 -1.0874E+01  9.334E-01  2.1713E+01  1.2069E+01
 13.000 -4.7213E+00  5.1903E-02 -1.0996E+01  9.317E-01  2.4447E+01  1.3062E+01
 14.000 -5.0430E+00  4.1002E-02 -1.1132E+01  9.310E-01  2.7311E+01  1.4056E+01
 15.000 -5.3388E+00  3.7682E-02 -1.1232E+01  9.316E-01  3.0300E+01  1.5050E+01
 16.000 -5.6169E+00  3.4098E-02 -1.1306E+01  9.321E-01  3.3409E+01  1.6046E+01
 17.000 -5.8751E+00  2.6801E-02 -1.1439E+01  9.326E-01  3.6634E+01  1.7043E+01
 18.000 -6.1164E+00  2.4791E-02 -1.1522E+01  9.332E-01  3.9971E+01  1.8039E+01
 19.000 -6.3465E+00  2.5429E-02 -1.1566E+01  9.333E-01  4.3416E+01  1.9037E+01
 20.000 -6.5613E+00  2.1872E-02 -1.1856E+01  9.336E-01  4.6967E+01  2.0034E+01
 21.000 -6.7651E+00  1.9735E-02 -1.2319E+01  9.344E-01  5.0620E+01  2.1032E+01
